Runtime (s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
0.11153059802018106,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",230000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-53-56
0.11159213402424939,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",240000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-53-58
0.1112183099903632,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",250000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-53-59
0.11092646099859849,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",260000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-00
0.11456214397912845,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",270000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-01
0.11432878498453647,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",280000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-02
0.11583591101225466,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",290000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-03
0.11519139801384881,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",300000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-04
0.1138730270031374,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",310000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-05
0.11541987900272943,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",320000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-06
0.11918094800785184,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",330000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-08
0.11122483300277963,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",340000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-09
0.11398569800076075,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",350000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-10
0.11496784799965099,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",360000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-11
0.11162495499593206,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",370000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-12
0.11360850901110098,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",380000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-13
0.11458530797972344,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",390000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-14
0.11395984998671338,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",400000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-15
0.11297811201075092,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",410000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-16
0.11147850000998005,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",420000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-18
0.11431962699862197,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",430000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-19
0.11115082300966606,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",440000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-20
0.11377613400691189,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",450000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-21
0.11246688099345192,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",460000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-22
0.11190532401087694,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",470000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-23
0.11483820297871716,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",480000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-24
0.11196080801892094,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",490000,"[1000000]",12,-1,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-12-0910-54-25
